WRITER_GUID 0110bb04:46898719:fd2844b7:00000203
real_speed_monitor up: 30 Hz, RELIABLE+VOLATILE+KEEP_LAST(1)
TX seq=0 t=366113078044556 lv=5.000 write_rc=OK
TX seq=1 t=366113111563697 lv=5.000 write_rc=OK
TX seq=2 t=366113144857777 lv=5.000 write_rc=OK
TX seq=3 t=366113178153014 lv=5.000 write_rc=OK
TX seq=4 t=366113211513445 lv=5.000 write_rc=OK
TX seq=5 t=366113244835832 lv=5.000 write_rc=OK
TX seq=6 t=366113278207838 lv=5.000 write_rc=OK
TX seq=7 t=366113311503126 lv=5.000 write_rc=OK
TX seq=8 t=366113344841270 lv=5.000 write_rc=OK
TX seq=9 t=366113378196481 lv=5.000 write_rc=OK
TX seq=10 t=366113411536321 lv=5.000 write_rc=OK
TX seq=11 t=366113444848975 lv=5.000 write_rc=OK
TX seq=12 t=366113478179592 lv=5.000 write_rc=OK
TX seq=13 t=366113511525999 lv=5.000 write_rc=OK
TX seq=14 t=366113544878015 lv=5.000 write_rc=OK
TX seq=15 t=366113578190143 lv=5.000 write_rc=OK
TX seq=16 t=366113611558786 lv=5.000 write_rc=OK
TX seq=17 t=366113644867153 lv=5.000 write_rc=OK
TX seq=18 t=366113678223964 lv=5.000 write_rc=OK
TX seq=19 t=366113711519879 lv=5.000 write_rc=OK
TX seq=20 t=366113744854616 lv=5.000 write_rc=OK
TX seq=21 t=366113778209741 lv=5.000 write_rc=OK
TX seq=22 t=366113811517052 lv=5.000 write_rc=OK
TX seq=23 t=366113844858152 lv=5.000 write_rc=OK
TX seq=24 t=366113878201808 lv=5.000 write_rc=OK
TX seq=25 t=366113911562805 lv=5.000 write_rc=OK
TX seq=26 t=366113944863611 lv=5.000 write_rc=OK
TX seq=27 t=366113978193340 lv=5.000 write_rc=OK
TX seq=28 t=366114011520245 lv=5.000 write_rc=OK
TX seq=29 t=366114044859107 lv=5.000 write_rc=OK
TX seq=30 t=366114078172997 lv=5.500 write_rc=OK
TX seq=31 t=366114111549253 lv=5.500 write_rc=OK
TX seq=32 t=366114144868620 lv=5.500 write_rc=OK
TX seq=33 t=366114178200734 lv=5.500 write_rc=OK
TX seq=34 t=366114211513264 lv=5.500 write_rc=OK
TX seq=35 t=366114244835130 lv=5.500 write_rc=OK
TX seq=36 t=366114278198034 lv=5.500 write_rc=OK
TX seq=37 t=366114311518963 lv=5.500 write_rc=OK
TX seq=38 t=366114344840704 lv=5.500 write_rc=OK
TX seq=39 t=366114378179453 lv=5.500 write_rc=OK
TX seq=40 t=366114411514491 lv=5.500 write_rc=OK
TX seq=41 t=366114444859401 lv=5.500 write_rc=OK
TX seq=42 t=366114478202083 lv=5.500 write_rc=OK
TX seq=43 t=366114511520384 lv=5.500 write_rc=OK
TX seq=44 t=366114544858289 lv=5.500 write_rc=OK
TX seq=45 t=366114578211497 lv=5.500 write_rc=OK
TX seq=46 t=366114611535554 lv=5.500 write_rc=OK
TX seq=47 t=366114644847266 lv=5.500 write_rc=OK
TX seq=48 t=366114678166788 lv=5.500 write_rc=OK
TX seq=49 t=366114711535309 lv=5.500 write_rc=OK
TX seq=50 t=366114744860485 lv=5.500 write_rc=OK
TX seq=51 t=366114778186130 lv=5.500 write_rc=OK
TX seq=52 t=366114811530737 lv=5.500 write_rc=OK
TX seq=53 t=366114844860474 lv=5.500 write_rc=OK
TX seq=54 t=366114878173736 lv=5.500 write_rc=OK
TX seq=55 t=366114911500504 lv=5.500 write_rc=OK
TX seq=56 t=366114944865012 lv=5.500 write_rc=OK
TX seq=57 t=366114978211140 lv=5.500 write_rc=OK
TX seq=58 t=366115011522936 lv=5.500 write_rc=OK
TX seq=59 t=366115044865481 lv=5.500 write_rc=OK
TX seq=60 t=366115078221739 lv=6.000 write_rc=OK
TX seq=61 t=366115111524856 lv=6.000 write_rc=OK
TX seq=62 t=366115144869475 lv=6.000 write_rc=OK
TX seq=63 t=366115178179254 lv=6.000 write_rc=OK
TX seq=64 t=366115211543704 lv=6.000 write_rc=OK
TX seq=65 t=366115244834094 lv=6.000 write_rc=OK
TX seq=66 t=366115278195657 lv=6.000 write_rc=OK
TX seq=67 t=366115311506741 lv=6.000 write_rc=OK
TX seq=68 t=366115344869618 lv=6.000 write_rc=OK
TX seq=69 t=366115378168495 lv=6.000 write_rc=OK
TX seq=70 t=366115411528066 lv=6.000 write_rc=OK
TX seq=71 t=366115444905046 lv=6.000 write_rc=OK
TX seq=72 t=366115478214191 lv=6.000 write_rc=OK
TX seq=73 t=366115511554944 lv=6.000 write_rc=OK
TX seq=74 t=366115544871380 lv=6.000 write_rc=OK
TX seq=75 t=366115578211511 lv=6.000 write_rc=OK
TX seq=76 t=366115611559947 lv=6.000 write_rc=OK
TX seq=77 t=366115644865379 lv=6.000 write_rc=OK
TX seq=78 t=366115678188721 lv=6.000 write_rc=OK
TX seq=79 t=366115711523349 lv=6.000 write_rc=OK
TX seq=80 t=366115744839677 lv=6.000 write_rc=OK
TX seq=81 t=366115778197080 lv=6.000 write_rc=OK
TX seq=82 t=366115811518898 lv=6.000 write_rc=OK
TX seq=83 t=366115844876124 lv=6.000 write_rc=OK
TX seq=84 t=366115878173073 lv=6.000 write_rc=OK
TX seq=85 t=366115911506349 lv=6.000 write_rc=OK
TX seq=86 t=366115944835103 lv=6.000 write_rc=OK
TX seq=87 t=366115978152661 lv=6.000 write_rc=OK
TX seq=88 t=366116011518685 lv=6.000 write_rc=OK
TX seq=89 t=366116044913913 lv=6.000 write_rc=OK
TX seq=90 t=366116078236685 lv=5.000 write_rc=OK
TX seq=91 t=366116111568925 lv=5.000 write_rc=OK
TX seq=92 t=366116144956520 lv=5.000 write_rc=OK
TX seq=93 t=366116178249534 lv=5.000 write_rc=OK
TX seq=94 t=366116211560819 lv=5.000 write_rc=OK
TX seq=95 t=366116244908083 lv=5.000 write_rc=OK
TX seq=96 t=366116278213621 lv=5.000 write_rc=OK
TX seq=97 t=366116311561370 lv=5.000 write_rc=OK
TX seq=98 t=366116344903304 lv=5.000 write_rc=OK
TX seq=99 t=366116378249836 lv=5.000 write_rc=OK
TX seq=100 t=366116411573850 lv=5.000 write_rc=OK
TX seq=101 t=366116444899063 lv=5.000 write_rc=OK
TX seq=102 t=366116478233896 lv=5.000 write_rc=OK
TX seq=103 t=366116511575564 lv=5.000 write_rc=OK
TX seq=104 t=366116544898230 lv=5.000 write_rc=OK
TX seq=105 t=366116578224138 lv=5.000 write_rc=OK
TX seq=106 t=366116611551750 lv=5.000 write_rc=OK
TX seq=107 t=366116644916542 lv=5.000 write_rc=OK
TX seq=108 t=366116678228596 lv=5.000 write_rc=OK
TX seq=109 t=366116711560607 lv=5.000 write_rc=OK
TX seq=110 t=366116744883784 lv=5.000 write_rc=OK
TX seq=111 t=366116778249355 lv=5.000 write_rc=OK
TX seq=112 t=366116811576592 lv=5.000 write_rc=OK
TX seq=113 t=366116844904862 lv=5.000 write_rc=OK
TX seq=114 t=366116878240891 lv=5.000 write_rc=OK
TX seq=115 t=366116911571448 lv=5.000 write_rc=OK
TX seq=116 t=366116944893736 lv=5.000 write_rc=OK
TX seq=117 t=366116978233286 lv=5.000 write_rc=OK
TX seq=118 t=366117011578443 lv=5.000 write_rc=OK
TX seq=119 t=366117044903584 lv=5.000 write_rc=OK
TX seq=120 t=366117078239758 lv=5.500 write_rc=OK
TX seq=121 t=366117111561690 lv=5.500 write_rc=OK
TX seq=122 t=366117144894659 lv=5.500 write_rc=OK
TX seq=123 t=366117178151777 lv=5.500 write_rc=OK
TX seq=124 t=366117211568520 lv=5.500 write_rc=OK
TX seq=125 t=366117244940001 lv=5.500 write_rc=OK
TX seq=126 t=366117278216483 lv=5.500 write_rc=OK
TX seq=127 t=366117311532442 lv=5.500 write_rc=OK
TX seq=128 t=366117344888806 lv=5.500 write_rc=OK
TX seq=129 t=366117378222210 lv=5.500 write_rc=OK
TX seq=130 t=366117411573739 lv=5.500 write_rc=OK
TX seq=131 t=366117444903583 lv=5.500 write_rc=OK
TX seq=132 t=366117478218700 lv=5.500 write_rc=OK
TX seq=133 t=366117511567894 lv=5.500 write_rc=OK
TX seq=134 t=366117544898769 lv=5.500 write_rc=OK
TX seq=135 t=366117578190418 lv=5.500 write_rc=OK
TX seq=136 t=366117611578708 lv=5.500 write_rc=OK
TX seq=137 t=366117644907999 lv=5.500 write_rc=OK
TX seq=138 t=366117678215472 lv=5.500 write_rc=OK
TX seq=139 t=366117711549142 lv=5.500 write_rc=OK
TX seq=140 t=366117744889029 lv=5.500 write_rc=OK
TX seq=141 t=366117778250309 lv=5.500 write_rc=OK
real_speed_monitor: stopped after 142 samples
