CONSUMER_PREFIX 0110ce55ef52110e25dbe82c
trusting_consumer up: VOLATILE reader; DELTA_FRESH=165 ms
TRACE t=366236096191060 event=SAMPLE rx=0 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=0.00
TRACE t=366236129472876 event=SAMPLE rx=1 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.28
TRACE t=366236162774726 event=SAMPLE rx=2 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.30
TRACE t=366236196136631 event=SAMPLE rx=3 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.36
TRACE t=366236229507775 event=SAMPLE rx=4 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.37
TRACE t=366236262851842 event=SAMPLE rx=5 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366236296175302 event=SAMPLE rx=6 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.32
TRACE t=366236329533024 event=SAMPLE rx=7 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.36
TRACE t=366236362865710 event=SAMPLE rx=8 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366236396166013 event=SAMPLE rx=9 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.30
TRACE t=366236429522306 event=SAMPLE rx=10 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.36
TRACE t=366236462844467 event=SAMPLE rx=11 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.32
TRACE t=366236496201966 event=SAMPLE rx=12 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.36
TRACE t=366236529546863 event=SAMPLE rx=13 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366236562883542 event=SAMPLE rx=14 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366236596194249 event=SAMPLE rx=15 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.31
TRACE t=366236629520606 event=SAMPLE rx=16 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366236662848714 event=SAMPLE rx=17 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366236696176556 event=SAMPLE rx=18 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366236729551075 event=SAMPLE rx=19 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.37
TRACE t=366236762861348 event=SAMPLE rx=20 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.31
TRACE t=366236796187946 event=SAMPLE rx=21 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366236829515001 event=SAMPLE rx=22 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366236862860667 event=SAMPLE rx=23 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.35
TRACE t=366236896199049 event=SAMPLE rx=24 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366236929512055 event=SAMPLE rx=25 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.31
TRACE t=366236962851192 event=SAMPLE rx=26 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366236996184717 event=SAMPLE rx=27 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366237029527517 event=SAMPLE rx=28 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.34
TRACE t=366237062798697 event=SAMPLE rx=29 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.27
TRACE t=366237096177027 event=SAMPLE rx=30 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.38
TRACE t=366237129494321 event=SAMPLE rx=31 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.32
TRACE t=366237162792341 event=SAMPLE rx=32 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.30
TRACE t=366237196106721 event=SAMPLE rx=33 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.31
TRACE t=366237229485936 event=SAMPLE rx=34 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.38
TRACE t=366237262803059 event=SAMPLE rx=35 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.32
TRACE t=366237296098560 event=SAMPLE rx=36 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.30
TRACE t=366237329479783 event=SAMPLE rx=37 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.38
