WRITER_GUID 0110e493:507dbdfa:2c764e80:00000203
real_speed_monitor up: 30 Hz, RELIABLE+VOLATILE+KEEP_LAST(1)
TX seq=0 t=366236062658519 lv=5.000 write_rc=OK
TX seq=1 t=366236096084586 lv=5.000 write_rc=OK
TX seq=2 t=366236129403169 lv=5.000 write_rc=OK
TX seq=3 t=366236162734331 lv=5.000 write_rc=OK
TX seq=4 t=366236196069155 lv=5.000 write_rc=OK
TX seq=5 t=366236229434329 lv=5.000 write_rc=OK
TX seq=6 t=366236262779975 lv=5.000 write_rc=OK
TX seq=7 t=366236296068452 lv=5.000 write_rc=OK
TX seq=8 t=366236329434648 lv=5.000 write_rc=OK
TX seq=9 t=366236362776138 lv=5.000 write_rc=OK
TX seq=10 t=366236396073230 lv=5.000 write_rc=OK
TX seq=11 t=366236429437264 lv=5.000 write_rc=OK
TX seq=12 t=366236462770949 lv=5.000 write_rc=OK
TX seq=13 t=366236496133854 lv=5.000 write_rc=OK
TX seq=14 t=366236529441865 lv=5.000 write_rc=OK
TX seq=15 t=366236562760708 lv=5.000 write_rc=OK
TX seq=16 t=366236596074098 lv=5.000 write_rc=OK
TX seq=17 t=366236629439162 lv=5.000 write_rc=OK
TX seq=18 t=366236662772458 lv=5.000 write_rc=OK
TX seq=19 t=366236696074572 lv=5.000 write_rc=OK
TX seq=20 t=366236729442504 lv=5.000 write_rc=OK
TX seq=21 t=366236762753685 lv=5.000 write_rc=OK
TX seq=22 t=366236796075497 lv=5.000 write_rc=OK
TX seq=23 t=366236829437639 lv=5.000 write_rc=OK
TX seq=24 t=366236862789013 lv=5.000 write_rc=OK
TX seq=25 t=366236896121510 lv=5.000 write_rc=OK
TX seq=26 t=366236929436399 lv=5.000 write_rc=OK
TX seq=27 t=366236962768966 lv=5.000 write_rc=OK
TX seq=28 t=366236996123012 lv=5.000 write_rc=OK
TX seq=29 t=366237029433201 lv=5.000 write_rc=OK
TX seq=30 t=366237062731478 lv=5.500 write_rc=OK
TX seq=31 t=366237096071836 lv=5.500 write_rc=OK
TX seq=32 t=366237129418003 lv=5.500 write_rc=OK
TX seq=33 t=366237162740701 lv=5.500 write_rc=OK
TX seq=34 t=366237196052225 lv=5.500 write_rc=OK
TX seq=35 t=366237229426145 lv=5.500 write_rc=OK
TX seq=36 t=366237262753645 lv=5.500 write_rc=OK
TX seq=37 t=366237296044840 lv=5.500 write_rc=OK
TX seq=38 t=366237329399011 lv=5.500 write_rc=OK
TX seq=39 t=366237362736351 lv=5.500 write_rc=OK
TX seq=40 t=366237396059941 lv=5.500 write_rc=OK
TX seq=41 t=366237429422563 lv=5.500 write_rc=OK
TX seq=42 t=366237462753619 lv=5.500 write_rc=OK
TX seq=43 t=366237496048098 lv=5.500 write_rc=OK
TX seq=44 t=366237529406599 lv=5.500 write_rc=OK
TX seq=45 t=366237562737398 lv=5.500 write_rc=OK
TX seq=46 t=366237596078419 lv=5.500 write_rc=OK
TX seq=47 t=366237629421265 lv=5.500 write_rc=OK
TX seq=48 t=366237662745158 lv=5.500 write_rc=OK
TX seq=49 t=366237696075126 lv=5.500 write_rc=OK
TX seq=50 t=366237729410696 lv=5.500 write_rc=OK
TX seq=51 t=366237762765089 lv=5.500 write_rc=OK
TX seq=52 t=366237796046470 lv=5.500 write_rc=OK
TX seq=53 t=366237829413447 lv=5.500 write_rc=OK
TX seq=54 t=366237862789812 lv=5.500 write_rc=OK
TX seq=55 t=366237896061345 lv=5.500 write_rc=OK
TX seq=56 t=366237929422197 lv=5.500 write_rc=OK
TX seq=57 t=366237962742473 lv=5.500 write_rc=OK
TX seq=58 t=366237996032905 lv=5.500 write_rc=OK
TX seq=59 t=366238029397800 lv=5.500 write_rc=OK
TX seq=60 t=366238062725629 lv=6.000 write_rc=OK
TX seq=61 t=366238096025841 lv=6.000 write_rc=OK
TX seq=62 t=366238129419284 lv=6.000 write_rc=OK
TX seq=63 t=366238162755200 lv=6.000 write_rc=OK
TX seq=64 t=366238196067854 lv=6.000 write_rc=OK
TX seq=65 t=366238229424134 lv=6.000 write_rc=OK
TX seq=66 t=366238262764063 lv=6.000 write_rc=OK
TX seq=67 t=366238296075385 lv=6.000 write_rc=OK
TX seq=68 t=366238329419323 lv=6.000 write_rc=OK
TX seq=69 t=366238362753664 lv=6.000 write_rc=OK
TX seq=70 t=366238396057155 lv=6.000 write_rc=OK
TX seq=71 t=366238429419726 lv=6.000 write_rc=OK
TX seq=72 t=366238462752111 lv=6.000 write_rc=OK
TX seq=73 t=366238496089660 lv=6.000 write_rc=OK
TX seq=74 t=366238529440798 lv=6.000 write_rc=OK
TX seq=75 t=366238562755150 lv=6.000 write_rc=OK
TX seq=76 t=366238596055805 lv=6.000 write_rc=OK
TX seq=77 t=366238629420083 lv=6.000 write_rc=OK
TX seq=78 t=366238662759075 lv=6.000 write_rc=OK
TX seq=79 t=366238696080329 lv=6.000 write_rc=OK
TX seq=80 t=366238729412660 lv=6.000 write_rc=OK
TX seq=81 t=366238762745730 lv=6.000 write_rc=OK
TX seq=82 t=366238796060705 lv=6.000 write_rc=OK
TX seq=83 t=366238829419319 lv=6.000 write_rc=OK
TX seq=84 t=366238862742217 lv=6.000 write_rc=OK
TX seq=85 t=366238896071274 lv=6.000 write_rc=OK
TX seq=86 t=366238929417883 lv=6.000 write_rc=OK
TX seq=87 t=366238962760044 lv=6.000 write_rc=OK
TX seq=88 t=366238996055707 lv=6.000 write_rc=OK
TX seq=89 t=366239029423995 lv=6.000 write_rc=OK
TX seq=90 t=366239062754976 lv=5.000 write_rc=OK
TX seq=91 t=366239096085280 lv=5.000 write_rc=OK
TX seq=92 t=366239129415384 lv=5.000 write_rc=OK
TX seq=93 t=366239162756353 lv=5.000 write_rc=OK
TX seq=94 t=366239196050638 lv=5.000 write_rc=OK
TX seq=95 t=366239229411483 lv=5.000 write_rc=OK
TX seq=96 t=366239262759890 lv=5.000 write_rc=OK
TX seq=97 t=366239296071478 lv=5.000 write_rc=OK
TX seq=98 t=366239329413671 lv=5.000 write_rc=OK
TX seq=99 t=366239362740668 lv=5.000 write_rc=OK
TX seq=100 t=366239396059099 lv=5.000 write_rc=OK
TX seq=101 t=366239429422373 lv=5.000 write_rc=OK
TX seq=102 t=366239462756776 lv=5.000 write_rc=OK
TX seq=103 t=366239496052875 lv=5.000 write_rc=OK
TX seq=104 t=366239529426092 lv=5.000 write_rc=OK
TX seq=105 t=366239562746374 lv=5.000 write_rc=OK
TX seq=106 t=366239596065085 lv=5.000 write_rc=OK
TX seq=107 t=366239629401361 lv=5.000 write_rc=OK
TX seq=108 t=366239662784214 lv=5.000 write_rc=OK
TX seq=109 t=366239696082407 lv=5.000 write_rc=OK
TX seq=110 t=366239729435463 lv=5.000 write_rc=OK
TX seq=111 t=366239762775052 lv=5.000 write_rc=OK
TX seq=112 t=366239796079612 lv=5.000 write_rc=OK
TX seq=113 t=366239829437487 lv=5.000 write_rc=OK
TX seq=114 t=366239862771964 lv=5.000 write_rc=OK
TX seq=115 t=366239896069732 lv=5.000 write_rc=OK
TX seq=116 t=366239929435809 lv=5.000 write_rc=OK
TX seq=117 t=366239962761569 lv=5.000 write_rc=OK
TX seq=118 t=366239996062990 lv=5.000 write_rc=OK
TX seq=119 t=366240029436664 lv=5.000 write_rc=OK
TX seq=120 t=366240062762194 lv=5.500 write_rc=OK
TX seq=121 t=366240096057378 lv=5.500 write_rc=OK
TX seq=122 t=366240129424924 lv=5.500 write_rc=OK
TX seq=123 t=366240162770723 lv=5.500 write_rc=OK
TX seq=124 t=366240196066958 lv=5.500 write_rc=OK
TX seq=125 t=366240229430727 lv=5.500 write_rc=OK
TX seq=126 t=366240262766990 lv=5.500 write_rc=OK
TX seq=127 t=366240296063269 lv=5.500 write_rc=OK
TX seq=128 t=366240329424921 lv=5.500 write_rc=OK
TX seq=129 t=366240362763513 lv=5.500 write_rc=OK
TX seq=130 t=366240396089659 lv=5.500 write_rc=OK
TX seq=131 t=366240429436596 lv=5.500 write_rc=OK
TX seq=132 t=366240462762395 lv=5.500 write_rc=OK
TX seq=133 t=366240496064845 lv=5.500 write_rc=OK
TX seq=134 t=366240529430270 lv=5.500 write_rc=OK
real_speed_monitor: stopped after 135 samples
